cell_id,CD86,CD274,CD270,CD155,CD112,CD47,CD48,CD40,CD154,CD52,CD3,CD8,CD56,CD19,CD33,CD11c,HLA-A-B-C,CD45RA,CD123,CD7,CD105,CD49f,CD194,CD4,CD44,CD14,CD16,CD25,CD45RO,CD279,TIGIT,Mouse-IgG1,Mouse-IgG2a,Mouse-IgG2b,Rat-IgG2b,CD20,CD335,CD31,Podoplanin,CD146,IgM,CD5,CD195,CD32,CD196,CD185,CD103,CD69,CD62L,CD161,CD152,CD223,KLRG1,CD27,CD107a,CD95,CD134,HLA-DR,CD1c,CD11b,CD64,CD141,CD1d,CD314,CD35,CD57,CD272,CD278,CD58,CD39,CX3CR1,CD24,CD21,CD11a,CD79b,CD244,CD169,integrinB7,CD268,CD42b,CD54,CD62P,CD119,TCR,Rat-IgG1,Rat-IgG2a,CD192,CD122,FceRIa,CD41,CD137,CD163,CD83,CD124,CD13,CD2,CD226,CD29,CD303,CD49b,CD81,IgD,CD18,CD28,CD38,CD127,CD45,CD22,CD71,CD26,CD115,CD63,CD304,CD36,CD172a,CD72,CD158,CD93,CD49a,CD49d,CD73,CD9,TCRVa7.2,TCRVd2,LOX-1,CD158b,CD158e1,CD142,CD319,CD352,CD94,CD162,CD85j,CD23,CD328,HLA-E,CD82,CD101,CD88,CD224
45006fe3e4c8,1.1678035,0.62253,0.10695851,0.32498938,3.331674,6.4260015,1.4807657,-0.7283915,-0.46885052,-0.073284864,0.083973944,-0.009263396,-0.8067453,-0.2654194,3.7525074,0.14875181,5.152736,1.605306,1.2899091,-0.032049984,-0.011964172,0.7862148,-0.17912114,1.620421,9.063515,-0.42622972,0.83507895,0.25252268,-0.83241916,-0.39805847,-0.71626294,0.13249904,-0.034389973,0.08805707,1.0094194,0.124132216,0.1460695,14.59829,0.06855199,-0.31110954,0.37135142,0.25871688,0.23811723,0.09941769,1.2640516,0.35383365,0.69408524,1.3720858,6.5451193,-0.41136435,-0.81241775,1.8995345,-0.28891206,-0.09438676,0.32396376,1.4182352,-0.09470713,3.591847,0.9984783,0.823167,-0.21306217,-0.8265754,0.17269564,-1.6347668,-0.08355719,0.11627537,1.1121639,0.94679964,1.3902649,0.84914434,0.096078426,-0.48574427,-0.20944503,5.968264,0.13659567,5.9846272,-0.3812603,0.49746907,-0.17342854,-0.3311716,2.518413,1.3169339,-0.34947163,-0.20655096,-0.3855905,0.42635313,1.0958872,-0.24043354,0.23014462,1.1811819,-0.03125769,-0.9369794,-0.019728273,0.6987787,1.3387477,0.10781102,0.58186436,3.531209,0.3554729,3.4519382,1.6419792,-0.12548041,0.051797986,-0.6934396,0.7835356,0.48616397,2.608011,0.0069951117,8.438908,1.0476015,0.7211152,2.3264637,0.2504841,0.66603005,1.3459427,-0.01732406,1.4897201,-0.42601815,-0.20110083,7.0873294,-0.031630278,1.7990617,-0.26806247,1.4114637,0.0873093,0.49746314,0.16914508,0.98276675,0.003275156,0.4465156,-0.4483896,3.220174,-0.5330043,0.6749561,-0.0061870515,0.6821475,1.3981051,0.41429165,1.780314,0.5480701
d02759a80ba2,0.81897014,0.50600946,1.078682,6.848758,3.5248847,5.2794557,4.930438,2.0693724,0.3336519,-0.4680882,0.8696463,-0.36745235,1.7725816,-0.688032,3.0327723,7.559227,4.2265887,2.8311124,5.347887,-0.29130808,1.0382591,2.0403879,-0.4918668,-0.039603867,17.513119,0.6495776,-0.53406733,0.44836575,0.36122796,-0.15066954,-0.53929615,-0.33843854,0.49578232,1.5967008,-0.5207762,-0.29194298,0.11366011,13.131903,-0.399182,-0.68087435,0.49097997,0.4763228,-0.12562253,0.40029892,0.45775318,0.92730665,1.0451982,0.41284746,7.0707793,0.022259945,0.45833895,-0.5666796,0.12924835,-0.39612588,2.0486686,0.8758669,0.21804956,4.7744656,-0.5349971,1.3773667,-0.5274606,0.4935238,0.79016507,0.15170407,-0.4505148,-0.31067294,-0.82829124,-0.20617284,1.7327235,-0.1589196,0.44140315,-0.29170817,1.4950752,11.771707,-0.55598265,7.4956555,0.6464167,4.1119323,-0.5250745,0.17425391,3.8760898,0.21787378,-0.2516189,0.71869284,-0.027717192,-0.014001701,1.250384,0.21018742,0.8624882,-0.47098488,0.17278472,-0.24327682,0.42116585,1.4762955,2.3824255,-0.18992545,0.11932671,6.511853,0.79650533,4.606451,4.328416,1.3838266,6.605588,-0.53527856,1.2778625,0.81767493,2.8210268,-0.3562943,12.072031,-0.5459958,0.19591433,4.415056,0.6332598,-0.25991938,0.17052835,-0.46140334,-0.19396375,0.66846645,0.68964946,6.408119,0.51976645,6.157828,-0.6409183,1.1129355,0.5211614,0.045559797,0.83666396,0.5248617,1.5706056,0.021655023,0.32361335,8.407108,0.13130063,0.047606707,-0.24362768,0.54786354,1.8325874,0.9823084,2.736507,2.1840627
c016c6b0efa5,-0.3567033,-0.42226133,-0.82449275,1.1374946,0.5189245,7.221962,-0.37503374,1.7380711,0.14291947,-0.97145975,-0.8341088,-0.26785353,0.22389276,-0.5705194,3.2329032,-0.11714627,2.8744733,-0.24766311,0.22781102,-0.2192182,0.117868125,1.5058926,0.95828307,0.72097075,6.064536,-0.7041534,0.5899547,-0.040712982,-0.8777282,0.12942134,-0.1430439,0.39650363,-0.3694334,0.30741864,-0.400956,0.18460527,0.6368071,4.3392158,0.05306188,-0.57805675,-0.40098304,0.5926945,-0.024480239,7.467901,-0.39798632,0.0388458,1.172374,-0.7390658,-0.024892159,0.1397432,0.58459854,-0.4512794,0.2416057,-0.3122236,-0.5052541,1.5183372,-0.019776613,3.270705,-0.43227434,-0.47186542,-0.44003826,-0.44172972,1.2800146,0.0601151,0.78392965,0.97191,0.78552014,-0.08001985,2.3684788,-0.7210256,-0.13231055,-0.57705736,1.5919731,1.0757108,0.1263771,3.6516237,0.75955814,1.1290438,0.78155214,-0.6011564,-0.6853052,-0.44943506,0.9794619,0.42175564,0.083814785,1.3769172,0.065725595,-0.09086409,1.6604667,4.206679,-0.36496258,0.07204757,-0.5546231,0.36974937,-0.53769857,-0.107136205,1.171039,7.8676314,0.039052576,0.60468835,0.5335685,1.4600053,-0.20615983,0.62938184,6.0936527,-0.6087234,4.3305874,-0.25527725,15.094976,1.7024146,0.03053683,1.9939369,0.35673556,20.235401,-0.57378733,-0.3379217,3.7931943,-0.70290107,-0.43104985,12.374178,-0.3466369,1.4793423,0.3830378,-0.3418363,0.63964653,0.17121705,0.4317873,0.26111776,0.4469316,1.5512671,1.3486924,4.888579,-0.2794829,-0.13109656,-0.1776044,-0.68918806,9.013709,-1.182975,3.958148,2.8686
ba7f733a4f75,-1.2015074,0.14911485,2.0224676,6.0215945,7.2586703,2.7924356,21.708519,-0.13791257,1.6499686,-0.75467956,1.51875,-1.1353152,1.1114278,-0.0075715184,9.0871105,1.8167123,3.627479,6.6063967,-0.016822338,-0.8470891,2.2977264,1.3294258,0.200876,0.27301556,19.516186,1.0593746,-0.23233476,1.9875205,1.0390399,1.8761575,0.32404494,0.80494654,1.0975351,-0.30264032,-1.4445369,0.122355044,1.153387,12.376136,0.24794918,-0.47119734,0.57848054,1.2104886,0.4640119,1.4367156,1.5162363,0.618222,3.3010676,0.10143185,4.335309,-0.15010858,1.364279,0.5948342,-0.736977,0.51291925,1.5733272,2.221913,1.4752915,5.4849086,-1.3269439,-1.388678,3.0723834,1.1224759,2.0480983,0.57975256,-0.10476786,0.45423818,-0.31023282,1.1647564,1.8005543,-1.0050642,0.90164566,1.2512698,-1.30496,3.4753633,0.32953805,1.3056972,0.9870579,0.84333515,-0.07006371,-1.5068424,2.487275,0.7403818,1.4427731,-0.6231849,1.032851,-0.2973125,0.97627676,0.70607126,1.4800074,0.27613235,0.2824989,1.1290717,1.1458833,1.803966,3.7134705,2.6872413,0.46401465,9.096437,0.5929631,4.7337584,2.9281445,-0.9867474,-1.0715003,0.033832848,4.6673326,0.62985045,3.6368284,0.47361618,10.361173,-1.5950394,0.9993944,-0.42699867,-0.74854016,-2.2449112,1.4842651,1.010829,0.8990966,-0.15371537,0.0068341494,12.338227,-0.41562054,-0.22004819,0.32020426,0.4729697,0.35262585,-0.44738838,1.2853969,0.8694248,0.61580217,-0.2719519,1.504426,12.391979,0.5113942,0.5878631,-0.7526378,1.7148514,3.8937817,1.799661,1.5372491,4.4076715
fbcf2443ffb2,-0.100404024,0.6974609,0.62583566,-0.29840368,1.3698983,3.2545214,-1.6593801,0.6435308,0.90271044,1.2918766,-1.2375968,1.7066739,-1.462785,1.1258824,2.6356316,1.6355647,0.89814734,0.24949849,-0.9832745,-0.9746006,1.1944141,4.473183,-1.3161296,-1.1692086,3.8528514,1.422811,-0.3993298,0.44440567,0.029868722,0.2766118,0.10914981,1.442148,0.12434316,-0.058974743,0.44637787,-1.7782879,1.7095827,3.5459805,1.0335424,-1.655415,0.7865905,-0.6266885,0.68117535,5.394311,0.28021073,-0.45357406,2.5128188,-0.65241206,-0.024001122,1.3664688,-0.100896,1.4058844,-0.18507355,0.36451423,4.067791,0.46687818,0.8028548,1.3210716,-0.34458643,-1.5748693,-0.14546007,0.6224526,1.3663163,1.3789966,0.74855673,2.3718443,2.3099093,-0.09097803,3.1254175,-1.1991932,-0.45173287,-0.10260332,-1.4763515,0.9810746,0.13424969,4.6839275,0.20382655,-0.22168142,-0.24301457,0.72997904,-0.4095166,0.54823244,0.028717637,-0.030347347,-1.0848553,0.09388578,0.5945585,0.497823,2.3310766,1.4156553,2.6255856,0.3655982,0.2826866,1.4148743,-0.9052824,2.5408049,2.796179,5.9003,0.59836566,0.03221488,2.86489,0.6617787,-1.2472384,-0.18109423,2.2620854,2.1837957,3.3706264,0.29493886,21.561846,2.861916,3.966846,2.3615818,1.8909278,13.014004,-0.091953576,-0.36452138,2.3125498,1.4665945,-1.3590891,9.679972,0.9559275,0.18900454,-0.70332646,-1.2116374,1.1017538,0.18101525,-0.80043674,-0.3179021,-1.2186484,-0.4809121,0.7770233,6.4964986,0.27989757,-0.8419504,-0.86941886,0.6750915,5.259685,-0.835379,9.631781,1.7654452
d80d84ca8e89,0.8239842,1.6257721,1.8227521,4.9976473,3.7240574,6.5185246,2.4499815,1.1731794,2.2958572,-0.4624134,0.8748714,3.9808822,0.84299004,0.90447307,9.569392,2.6115694,5.4908237,1.2377378,2.2302222,2.3074858,1.4748349,4.064002,-0.48737144,-0.03344328,13.830948,-0.042031474,4.5481315,1.5207556,-0.149818,-1.041454,0.46782607,-0.3316694,0.502453,0.18562411,0.5847018,0.7250929,1.2280815,13.142063,0.5102527,-0.67555946,-0.49460635,-0.1537773,2.0171084,9.950179,-0.49814162,0.933578,0.24329424,1.4876096,3.3473184,0.40812817,1.6484518,-0.15578859,1.5762165,-0.39178875,3.6272252,0.736734,1.6987447,1.7692425,0.6343648,0.4500417,1.7928853,1.0458646,-0.81336427,0.55987835,-0.4452402,0.30167186,0.6662132,0.49963462,2.6844828,1.0243468,0.37799895,0.7490932,-0.5529116,5.504196,0.97746176,10.242444,-0.032370247,1.0068011,0.68882716,0.1796293,-0.75903755,2.7485318,2.0134032,2.1387258,0.67094004,-0.731381,0.19678013,0.60401076,3.314887,4.71248,1.5188749,0.4687026,-0.16563074,2.4514477,1.5630562,-0.1856459,0.6052928,8.752716,1.061674,2.613776,1.7102779,-0.39550537,4.50227,0.9769116,0.8089497,-0.7148999,5.9369316,1.2576349,18.214483,0.5652825,2.1328359,3.5821533,-0.19934218,32.53096,0.9561197,-0.45502016,2.4499388,0.67397916,-0.51503897,12.8669405,0.5260382,1.3625647,0.28472003,1.1172266,0.5272862,0.9684049,-0.86982536,0.5314435,-0.86763793,0.9251512,0.9010143,9.267448,1.0976844,0.81305325,-0.24021477,-0.80500036,6.743105,0.674436,7.5534134,6.5867853
1ac2049b4c98,-0.2512331,0.43728906,0.44692641,2.2872758,4.8466077,4.1915207,-0.2417556,-0.24248743,-0.45178613,-0.8520905,-0.06855056,-0.15955465,0.35628486,1.8401616,1.820172,-0.0057867914,1.8540272,-0.13490757,1.1155031,-0.14083117,0.9482075,4.0773544,-0.310345,2.4954438,10.521381,-0.5877575,-0.33699572,1.237923,0.07639377,0.26577008,-0.010938257,-0.7266991,-0.22911549,0.44707108,-0.27066937,-0.44019738,1.1438224,3.1852634,1.7451245,0.53609765,0.69705737,-0.6136706,0.08549695,0.81337106,0.67820835,0.17076436,0.50218105,0.044065475,4.0598583,-0.5886426,0.72188705,-0.32579887,1.114417,-0.22099242,0.11827634,0.6573292,0.46852046,4.536146,-0.32057863,-0.3574053,-0.3449795,0.18151498,0.21941787,-0.27968165,-0.23752764,-0.06286639,0.21218497,0.7564391,2.9715064,0.0701728,0.6961255,0.71739507,-0.35566062,2.4952729,0.750927,7.772719,-0.55198693,0.30295366,0.8878727,0.39131254,2.4010887,0.44463015,0.91903436,0.10191259,2.1255195,0.2415862,0.68551266,0.4559422,-0.93993145,0.9902433,0.44107214,-0.18281418,-0.4197076,2.1533992,0.8132496,-0.01711519,-0.7040031,5.5382338,0.17157105,6.118965,6.1200886,-0.2404315,-0.098125696,1.2242669,0.016548127,-0.48697898,4.4942336,-0.14543623,7.2898607,-0.2619688,0.7920581,6.0853205,0.4947245,0.27751425,-0.45420504,-0.20365366,8.041639,0.89107096,4.809671,6.2031517,1.2111965,6.7345753,0.49577123,-0.25157595,0.76848155,0.7836641,0.55965674,-0.98493487,0.5815965,1.6797242,-0.35418284,4.4101634,-0.13717157,0.20670988,-0.105813935,1.3592575,6.7866764,0.92518353,0.7345215,2.1555405
33fb0c29e2e4,-0.71294916,0.76743567,0.3196118,2.0863268,4.764974,4.226422,3.4073083,-0.15222053,0.14323428,0.7899475,-1.2053447,-0.6336539,-0.223287,-0.17279163,3.9976444,2.3325508,5.865245,0.3820052,5.873667,-0.48398542,0.26861194,2.246257,-0.72429544,-1.0607057,8.77407,0.36347342,-0.7864067,0.14649895,-0.099766,-0.33112282,0.13682663,-0.6884334,1.0025768,-0.16428433,0.25825995,-0.24031137,-0.2278048,14.790839,-0.12466517,1.8035443,-0.7635805,-1.1676104,-0.3959493,0.7957835,0.1754725,-1.0180192,-0.10318774,0.1124616,8.918315,0.4416333,1.0411818,-0.8751141,-0.17105329,-0.62037456,0.6883863,1.1070613,0.23045784,0.14426145,-0.809548,2.7485251,-0.76111746,0.5771818,-0.8896996,0.2157689,0.40917432,0.53588915,0.32345158,-1.3596832,2.7125363,0.16109869,-0.41116002,0.34681463,-0.81690305,5.1475096,-0.8510749,11.763747,0.9738224,0.65560454,-0.7864133,0.69914913,4.4067,-0.8484175,0.32076442,0.39802763,-0.3258129,1.4899224,-0.14279948,0.28324926,-0.69091356,-0.80918247,0.6781456,-0.20758677,-0.15086712,0.43847632,2.5563033,-0.41119945,0.25489226,5.7407603,-0.09608786,11.3859415,4.4956093,-0.603049,1.9395621,-0.31671375,0.43329453,1.193794,6.545541,0.982421,10.208549,1.2026632,-0.8403294,3.525694,-0.5450826,1.0706087,-0.9776997,10.283259,2.0649624,1.6330755,-0.7563346,7.528052,-0.7922437,-0.28124094,0.0022589266,-0.64670813,-0.20894629,-0.29028904,0.5223574,-0.20651764,-0.77312684,-0.29409602,1.3990438,6.5741434,-0.21850443,0.16404796,-0.42009056,0.7779303,0.22893,-0.35791555,0.16705096,0.14452323
b329261bd0ee,-0.7890341,-0.96942055,-0.7789143,6.3750095,2.1941361,5.418705,0.6162127,-0.8216505,0.94509786,-0.2878496,-0.030419677,0.86598945,-1.1763073,-1.0942894,2.3408911,-0.5736177,2.2731674,0.5957074,0.47467136,-0.5405329,-0.3621087,1.3254136,-0.7925092,0.18978018,5.44576,-0.41763574,0.1691458,-1.2035561,0.28377706,-0.74607205,0.04152721,2.2306242,-0.42673916,-0.8178439,0.16427273,0.31913924,-0.32801878,7.0110593,0.053896993,0.8811043,-0.3250135,-1.2588927,-1.0092603,8.854855,-0.8687263,-0.79661584,0.6055332,-0.5790733,1.1709523,0.6802311,-0.96206343,0.16322163,-1.0814197,-0.68618774,2.4194992,-0.47630063,0.44794887,1.7112863,-0.8901239,0.080684096,-0.82969177,-0.4238134,0.706897,-0.07884073,1.3629425,0.9590776,0.8780261,0.6686147,2.189745,0.07500842,-0.6762216,-0.114596695,-0.89290994,2.944293,-0.9376793,7.722556,0.885074,0.98695517,1.4493254,1.3561094,-1.0318546,-0.93362993,-1.2359827,-0.112995535,0.27959302,0.2233791,-2.0303493,0.1908975,1.0056176,0.28866553,-0.9378392,-0.30582416,-1.2197986,0.5842752,0.5202134,-0.4761395,-0.3253107,6.9162774,-1.5963659,-0.528466,3.1223655,-0.6628037,4.1536493,-0.41202742,2.4155197,-0.30357096,2.3007278,0.903183,14.913615,1.0959293,1.6204112,3.132755,-0.64462626,-1.1500344,-0.20967339,-0.8882967,-0.070204645,0.29978156,1.4874328,8.344197,-0.3729462,-0.3778348,-0.9993446,-0.71182084,0.11154157,0.52749467,-0.09235996,2.2243252,-0.47294223,-0.38676345,-1.5239639,13.045828,0.1771146,-0.28271216,-0.47187933,0.12565947,2.8282528,-0.45453635,3.9060535,3.682451
703762287e88,-0.47382092,0.1555812,-0.37076998,4.325928,3.5054874,9.068518,4.905013,0.10529898,0.5996084,0.06890309,-0.30050433,1.1896566,1.7473254,0.1169129,-0.42492756,-0.24080355,4.1986046,3.1841495,3.9006252,-0.30626175,0.1781475,2.2162912,-0.5099056,-0.76689667,7.9262223,-0.06976948,-0.5536514,0.42493787,-0.17861304,-1.5095246,-0.032718476,0.2383906,0.46901423,0.66088486,-0.5456307,-0.70569175,0.48254755,12.296255,-0.4261603,-0.70220196,0.90998876,-0.88071835,-0.14660257,0.35924968,-0.52550894,0.16804814,1.0188179,-0.8747676,8.472055,-0.4123184,0.2546232,0.86473095,-0.71629107,-0.4135298,1.3769845,0.4003577,0.52628136,3.4240034,-0.55630493,-0.59896576,0.6650244,0.39193732,0.3660425,1.0599368,-0.47168043,-0.3352988,-0.85438824,0.12980056,1.4361982,0.43167272,1.198675,0.4357557,-0.5780201,2.1948364,0.94885236,10.4663515,0.6229477,0.5088693,0.6634902,-0.72671425,3.8599617,0.1953398,-0.029705651,0.69380605,0.6420394,-0.039400812,0.16448231,0.18576546,-0.32870734,-0.49723238,0.14612356,1.2841127,0.758632,-0.72495484,3.0681477,-0.2070985,-0.4284003,5.666554,1.0300939,7.9050446,3.9164515,-0.41524506,4.4765253,1.3762432,1.2492611,-0.7439125,6.4199896,-0.37724838,10.07935,-0.5742211,0.9885741,2.2204459,0.20350799,1.705355,-0.7065756,-0.48701724,1.4737058,-0.059023008,3.7310681,4.4644394,0.49459922,0.70378876,0.25785482,1.0957168,1.2415166,-1.0643165,-0.9002976,-0.3150061,1.2611823,-0.71533555,0.3002803,4.702925,-0.43751025,-0.27938062,-0.25732297,0.21761379,2.334764,0.6425178,2.86462,0.46472594
